osmid,geometry,amenity
506819192,POINT (-121.8934334 37.2749666),fast_food
506819212,POINT (-121.8931759 37.2748023),cafe
506819349,POINT (-121.913213 37.2928602),cafe
506883216,POINT (-122.0135609 37.3536834),restaurant
509707333,POINT (-121.982229 37.285648),cafe
509715928,POINT (-121.9804183 37.285368),ice_cream
509718692,POINT (-121.9798848 37.285534),restaurant
509719788,POINT (-121.9797428 37.2854864),restaurant
515624903,POINT (-121.9829063 37.3884556),parking
515624905,POINT (-121.9853267 37.3891171),parking
515624908,POINT (-121.9818077 37.3890352),parking
515624928,POINT (-121.9509859 37.4126339),atm
515630307,POINT (-121.9463669 37.3948569),fast_food
519471965,POINT (-122.0661824 37.336804),restaurant
519475628,POINT (-122.066457 37.3364151),restaurant
519642939,POINT (-121.9720528 37.4053715),parking_entrance
519647199,POINT (-121.9758079 37.4065671),parking_entrance
519651279,POINT (-121.9768349 37.396384),parking_entrance
529144378,POINT (-122.0776812 37.4157646),cafe
530378946,POINT (-121.9038131 37.3406609),fountain
534474061,POINT (-121.9021836 37.3400294),drinking_water
534474064,POINT (-121.902175 37.3395722),bench
534475869,POINT (-121.90384 37.3402818),fast_food
534475877,POINT (-121.9039431 37.340316),bicycle_parking
534475879,POINT (-121.9047757 37.3391013),bicycle_parking
534477986,POINT (-121.9035926 37.3280496),bicycle_parking
534477987,POINT (-121.9036628 37.329134),bicycle_parking
544673028,POINT (-121.9729086 37.3853878),restaurant
553543026,POINT (-121.8886819 37.3357105),bicycle_parking
560525287,POINT (-121.915974 37.3651212),cafe
562343879,POINT (-121.9467317 37.2683615),place_of_worship
563306001,POINT (-121.9029894 37.3533164),bank
563306080,POINT (-121.903379 37.3538502),fast_food
563310829,POINT (-121.9053536 37.3565948),restaurant
563310851,POINT (-121.905091 37.3561931),fast_food
563318175,POINT (-121.9129544 37.3683563),cafe
563335171,POINT (-121.916755 37.3706763),fast_food
563335614,POINT (-121.917214 37.3709053),cafe
563335934,POINT (-121.9171386 37.3708815),restaurant
563339753,POINT (-121.91705 37.3708623),restaurant
563340080,POINT (-121.916963 37.3708073),fast_food
563340607,POINT (-121.916814 37.3707197),fast_food
563341124,POINT (-121.916872 37.3707687),dentist
563360022,POINT (-121.945979 37.4108982),restaurant
563360850,POINT (-121.9458666 37.4108323),fast_food
563361084,POINT (-121.9458103 37.4107993),restaurant
563361294,POINT (-121.9455854 37.4106675),restaurant
565962786,POINT (-122.025239 37.3702757),post_box
566054493,POINT (-122.030099 37.376262),restaurant
566055916,POINT (-122.029747 37.3773669),cafe
566530731,POINT (-122.0306033 37.3683444),post_box
568948287,POINT (-121.887875 37.3345484),bicycle_parking
568948290,POINT (-121.8879535 37.3347049),bicycle_parking
568948293,POINT (-121.8872312 37.334289),bicycle_parking
571237360,POINT (-121.893193 37.333872),bar
571237618,POINT (-121.8923731 37.3330037),bar
573586156,POINT (-121.9599259 37.3606692),fuel
573586160,POINT (-121.96207 37.3618545),fuel
573586168,POINT (-121.9592038 37.3559874),fuel
577302794,POINT (-121.9130568 37.3325955),bicycle_parking
577302795,POINT (-121.9132848 37.3327832),bicycle_parking
577302796,POINT (-121.9137743 37.3332012),bicycle_parking
577302797,POINT (-121.9132044 37.3323898),bicycle_parking
577302798,POINT (-121.9137046 37.3328067),bicycle_parking
577302799,POINT (-121.9126049 37.3323161),cafe
577302800,POINT (-121.9127725 37.3323715),bicycle_parking
577406730,POINT (-121.888412 37.3373902),cafe
580360959,POINT (-121.9924498 37.3451823),fire_station
580406661,POINT (-121.9125595 37.3233309),bicycle_parking
582456947,POINT (-122.032626 37.3736886),pharmacy
582458281,POINT (-122.0620873 37.3851261),school
582795107,POINT (-121.8877094 37.3351463),bicycle_parking
582795108,POINT (-121.8879964 37.3350184),bicycle_parking
582795109,POINT (-121.8879186 37.3346622),bicycle_parking
582795110,POINT (-121.886784 37.335334),bicycle_parking
582795111,POINT (-121.8865158 37.3354705),bicycle_parking
582795112,POINT (-121.8861752 37.3356262),bicycle_parking
582795113,POINT (-121.8857809 37.335688),bicycle_parking
582795114,POINT (-121.8869208 37.3355131),bicycle_parking
582795115,POINT (-121.88713 37.3355494),bicycle_parking
